id,level,title,type,code,ects,semester,language
cu_boa_0,0,Bachelor i økonomi og administrasjon,Program,,,,Norsk
cu_bed1_1_461060f72366,1,Grunnleggende bedriftsøkonomi,Course,BED1,7.5,autumn,Norsk
cu_ike1_1_edcf6d71b500,1,Introduksjonskurs i etikk,Course,IKE1,3.8,autumn,Norsk.
cu_kom1_1_f12efdedd955,1,Kommunikasjon og kunstig intelligens,Course,KOM1,2.5,,Norsk
cu_met1_1_a90410d8328a,1,Matematikk for økonomer,Course,MET1,7.5,autumn,Norsk
cu_ret1_1_9bfb161a5019,1,Rettslære for økonomer,Course,RET1,7.5,autumn,Norsk
cu_ret1a_1_427e644b4592,1,Rettslære for økonomer,Course,RET1A,5.0,,Norsk.
cu_sam1_1_a176f2819793,1,Introduksjon til samfunnsøkonomi,Course,SAM1,3.8,autumn,Dansk/Norsk
cu_sam1a_1_ab8ba3b4d4db,1,"Etikk, økonomi og bærekraft",Course,SAM1A,7.5,autumn,Norwegian
cu_met2_1_556b54213722,1,Statistikk for økonomer,Course,MET2,7.5,spring,Norsk
cu_sam2_1_a7a72ceecc6f,1,Mikroøkonomi,Course,SAM2,7.5,spring,Norsk.
cu_sol1_1_b06331cb0a62,1,Psykologi og ledelse,Course,SOL1,7.5,spring,Norsk.
cu_bed2_1_3f798a5d1bd8,1,Finansregnskap,Course,BED2,7.5,autumn,Norsk
cu_met3_1_3048fea3c8e1,1,Databehandling for økonomer,Course,MET3,7.5,autumn,Norsk
cu_sol2_1_54fc06d1d870,1,Markedsføring,Course,SOL2,7.5,autumn,Norsk
cu_bed3_1_b43a5275f00c,1,Investering og finans,Course,BED3,7.5,spring,Norsk
cu_met4_1_0d92e845d74b,1,Empiriske metoder,Course,MET4,7.5,spring/autumn,Norsk.
cu_sam3_1_1824ef1ee91d,1,Makroøkonomi,Course,SAM3,7.5,spring,Norsk.
cu_bed4_1_370177fb81b0,1,Bedriftsøkonomiske beslutninger,Course,BED4,7.5,autumn,Norsk.
cu_sam4_1_e91233bf1f18,1,Internasjonal handel og velferdsteori,Course,SAM4,7.5,autumn,Norsk.
cu_sam4a_1_ad8a770b3934,1,Anvendt økonomi,Course,SAM4A,7.5,,Norsk og Engelsk. Emnet undervises på norsk om høsten og engelsk på våren.
cu_sol3_1_eca5e036c695,1,Organisasjonen,Course,SOL3,7.5,autumn,Norsk
cu_bed5_1_f1ed3d8af13a,1,Økonomisk styring,Course,BED5,7.5,spring,Norsk
cu_sol4_1_53d58f58ab69,1,Strategisk ledelse,Course,SOL4,7.5,spring,Norsk.
cu_sam26_1_3547dad8e671,1,Past and Future of Globalization,Course,SAM26,7.5,,English.
cu_for14_1_466c7d371ae4,1,Algorithms and Computer Programming with Python,Course,FOR14,7.5,autumn,English
cu_for11_1_298068c95669,1,Business Taxation,Course,FOR11,7.5,spring,English
