intention_id,cu_id
int_fd45e58ead25,cu_bed1_1_461060f72366
int_24c127301bea,cu_bed1_1_461060f72366
int_a18f80bbbd47,cu_bed1_1_461060f72366
int_b5aa3fcab7cd,cu_bed1_1_461060f72366
int_578b893367e6,cu_bed1_1_461060f72366
int_29a306002691,cu_bed1_1_461060f72366
int_5592d4a67d61,cu_bed1_1_461060f72366
int_068ca16fff2c,cu_bed1_1_461060f72366
int_36e7d085af08,cu_bed1_1_461060f72366
int_1313227bfd39,cu_bed1_1_461060f72366
int_038bf386f6e1,cu_bed1_1_461060f72366
int_112ae27593c9,cu_bed1_1_461060f72366
int_f15bc32bc4f8,cu_bed1_1_461060f72366
int_1b9544e2b04f,cu_ike1_1_edcf6d71b500
int_5230bcb06576,cu_ike1_1_edcf6d71b500
int_b6ecb03c228d,cu_ike1_1_edcf6d71b500
int_5e8f8060d46b,cu_ike1_1_edcf6d71b500
int_df4958be575e,cu_ike1_1_edcf6d71b500
int_59b45695734f,cu_ike1_1_edcf6d71b500
int_0e8c39ecea0e,cu_ike1_1_edcf6d71b500
int_76ee6bcae9de,cu_ike1_1_edcf6d71b500
int_8e3e7019e6b1,cu_ike1_1_edcf6d71b500
int_2d2ec9b28469,cu_ike1_1_edcf6d71b500
int_674e88e07702,cu_ike1_1_edcf6d71b500
int_0719abb6e21e,cu_ike1_1_edcf6d71b500
int_4a5b528fb581,cu_ike1_1_edcf6d71b500
int_f72ebaea6686,cu_ike1_1_edcf6d71b500
int_2147451925d5,cu_ike1_1_edcf6d71b500
int_c961379752c2,cu_kom1_1_f12efdedd955
int_0bd516818bf3,cu_kom1_1_f12efdedd955
int_bb9bf7ee084a,cu_kom1_1_f12efdedd955
int_1308f42e6e77,cu_kom1_1_f12efdedd955
int_0f1099b3b24d,cu_kom1_1_f12efdedd955
int_b60a8c766a3e,cu_kom1_1_f12efdedd955
int_eebb2a0973cb,cu_kom1_1_f12efdedd955
int_2c4af2500630,cu_kom1_1_f12efdedd955
int_a83f7ac7ab85,cu_kom1_1_f12efdedd955
int_b1feb73667ef,cu_kom1_1_f12efdedd955
int_2e0db1ee11f6,cu_kom1_1_f12efdedd955
int_bcc3f1d0b86b,cu_kom1_1_f12efdedd955
