person_id,role_id
per_dan_richard_knudsen_9a61e5a3803d,role_bad4e3cba4e2
per_ystein_foros_f86088f7b124,role_15955fc859da
per_personvernerklring_og_18bf0b6963a8,role_68dadd3d2e53
per_alexander_cappelen_bfb2ca9ec33c,role_a71309cffd60
per_personvernerklring_og_18bf0b6963a8,role_143c8699c020
per_claudia_forster_82ac2bdb4ce4,role_45a6fd8856a6
per_gisle_andersen_dfd7f34e1ab2,role_b2499f30958a
per_personvernerklring_og_18bf0b6963a8,role_c0799ca1f058
per_jan_ube_615f090898fc,role_a3f986d2ea2e
per_personvernerklring_og_18bf0b6963a8,role_9e97c6ca4b2b
per_elin_sarai_a22fc041e6ba,role_5459e2d7f941
per_personvernerklring_og_18bf0b6963a8,role_8609895efadd
per_elin_sarai_3ed6b2ad4095,role_abd522e8c04c
per_personvernerklring_og_18bf0b6963a8,role_9b97e4c9e01d
per_assistant_professor_87fdf89c617d,role_93344a7d8922
per_personvernerklring_og_18bf0b6963a8,role_34e25df0da02
per_alexander_w_fd9d26f81c74,role_f7854de94883
per_personvernerklring_og_18bf0b6963a8,role_f9ed231e477c
per_jan_ube_615f090898fc,role_31e879049e0c
per_personvernerklring_og_18bf0b6963a8,role_2a589c337bf9
per_kjetil_bjorvatn_ceea2407c8fe,role_38a46c6d9a58
per_personvernerklring_og_18bf0b6963a8,role_50d6283ba68b
per_hallgeir_sjastad_00241a357912,role_159281885275
per_personvernerklring_og_18bf0b6963a8,role_7764a408d06e
per_kjell_ove_637875e459d8,role_a89323c21b99
per_personvernerklring_og_18bf0b6963a8,role_2e75c191bdc4
per_universitetslektor_hans_4e910b44f752,role_41e70b3093f4
per_trond_vegard_d4edef8d7984,role_3106c69f1b7a
per_personvernerklring_og_18bf0b6963a8,role_6947ba4f353e
per_alexander_hem_76d150e9e1e8,role_79346144625a
per_personvernerklring_og_18bf0b6963a8,role_7a4d029fe239
per_frode_sttem_a24a1ac136e8,role_81fb9bf7f212
per_assistant_professor_87fdf89c617d,role_85aaf7fe45fb
per_assistant_professor_87fdf89c617d,role_397c1094762d
per_personvernerklring_og_18bf0b6963a8,role_24a0249070dd
per_geir_drage_9074ba002652,role_3784ea94d4d6
per_assistant_professor_87fdf89c617d,role_2b0a9fede4ff
per_personvernerklring_og_18bf0b6963a8,role_04afe7a8411c
per_gernot_doppelhofer_3827fdd08724,role_e259b2a76c28
per_jonna_olsson_e177aca7a474,role_c00af3d1a08d
per_personvernerklring_og_18bf0b6963a8,role_29506795771d
per_ii_rasmus_e8d447b433bf,role_198049c8e089
per_mette_bjrndal_927c29aabc29,role_c307d1563e08
per_personvernerklring_og_18bf0b6963a8,role_26b35ccb2b78
per_x_linda_49d847f4efdd,role_9dd2e8cf82ce
per_assistant_professor_327521d43c73,role_00cf34faa007
per_personvernerklring_og_18bf0b6963a8,role_84cd35f20a94
per_aline_butikofer_60c13209dcd2,role_92109371ea63
per_personvernerklring_og_18bf0b6963a8,role_5f324fe4d4e7
per_universitetslektor_christer_47aa90a2578a,role_a2431a927206
per_personvernerklring_og_18bf0b6963a8,role_299cc0d2efce
per_anita_meidell_c2662a438e38,role_50e57a277607
per_trond_bjrnenak_d4b0e8d10052,role_804f79c5e240
per_personvernerklring_og_18bf0b6963a8,role_07bdbd56094b
per_eirik_sjaholm_2e806e16f0a7,role_054cb413cc49
per_personvernerklring_og_18bf0b6963a8,role_15b21d02281b
