role_id,cu_id
role_2bea79370bbc,cu_bed1_1_461060f72366
role_856375f9b2fc,cu_bed1_1_461060f72366
role_6531ab0f82f7,cu_bed1_1_461060f72366
role_181a3a6c17f0,cu_ike1_1_edcf6d71b500
role_481cf7be7c3e,cu_ike1_1_edcf6d71b500
role_2d012da6857e,cu_kom1_1_f12efdedd955
role_22c262b2686e,cu_kom1_1_f12efdedd955
role_47f5ab771224,cu_kom1_1_f12efdedd955
role_f71cd9da0531,cu_met1_1_a90410d8328a
role_cd7bd5a554ab,cu_met1_1_a90410d8328a
role_ad76fe9d9c58,cu_ret1_1_9bfb161a5019
role_5803ac97f111,cu_ret1_1_9bfb161a5019
role_44f800c8bba4,cu_ret1a_1_427e644b4592
role_5613b727483f,cu_ret1a_1_427e644b4592
role_ed77e6dfe2d2,cu_sam1_1_a176f2819793
role_fb51b9434f0a,cu_sam1_1_a176f2819793
role_7c8964defdbe,cu_sam1a_1_ab8ba3b4d4db
role_357e9c29a127,cu_sam1a_1_ab8ba3b4d4db
role_bfddc7112164,cu_met2_1_556b54213722
role_22fe95eb4570,cu_met2_1_556b54213722
role_0b0f802ab589,cu_sam2_1_a7a72ceecc6f
role_21fc8a6b472f,cu_sam2_1_a7a72ceecc6f
role_0b9ee87bf1f3,cu_sol1_1_b06331cb0a62
role_762ba53677f7,cu_sol1_1_b06331cb0a62
role_47d674ded442,cu_bed2_1_3f798a5d1bd8
role_5741c8782336,cu_bed2_1_3f798a5d1bd8
role_fe2cb3c64c47,cu_met3_1_3048fea3c8e1
role_46764d7a2f85,cu_met3_1_3048fea3c8e1
role_46d4d7546631,cu_met3_1_3048fea3c8e1
role_8fccebde8e6d,cu_sol2_1_54fc06d1d870
role_c11ff2e0459e,cu_sol2_1_54fc06d1d870
role_a7cc9d72b40e,cu_bed3_1_b43a5275f00c
role_759516f493a3,cu_bed3_1_b43a5275f00c
role_f6e470d231bf,cu_bed3_1_b43a5275f00c
role_153e3191cd99,cu_bed3_1_b43a5275f00c
role_5757c81d5b86,cu_met4_1_0d92e845d74b
role_46b72aca5c91,cu_met4_1_0d92e845d74b
role_cc506061f6af,cu_met4_1_0d92e845d74b
role_fce7378aa447,cu_sam3_1_1824ef1ee91d
role_78a60bebf042,cu_sam3_1_1824ef1ee91d
role_fe1d3b00a05d,cu_sam3_1_1824ef1ee91d
role_9e627281e99a,cu_bed4_1_370177fb81b0
role_aa6f27bc0826,cu_bed4_1_370177fb81b0
role_7c139d404db7,cu_bed4_1_370177fb81b0
role_788dff3cd832,cu_sam4_1_e91233bf1f18
role_939e453c3330,cu_sam4_1_e91233bf1f18
role_34445c68f031,cu_sam4_1_e91233bf1f18
role_0a5b08e4001f,cu_sam4a_1_ad8a770b3934
role_866a61e727a7,cu_sam4a_1_ad8a770b3934
role_69cd3cbab6df,cu_sol3_1_eca5e036c695
role_7836215082cb,cu_sol3_1_eca5e036c695
role_b31f5c34348f,cu_bed5_1_f1ed3d8af13a
role_f16852ae5d29,cu_bed5_1_f1ed3d8af13a
role_3906300785d2,cu_bed5_1_f1ed3d8af13a
role_aaf7f9b07861,cu_sol4_1_53d58f58ab69
role_f5f70761bf6d,cu_sol4_1_53d58f58ab69
role_6a07eda77cf7,cu_for21_1_f328c31096ad
role_0f23619cdd82,cu_for21_1_f328c31096ad
role_e0e63e35bb99,cu_for21_1_f328c31096ad
role_fdec2809e0a0,cu_for21_1_f328c31096ad
role_a0ede703e827,cu_sam13_1_aad24e431af3
role_3c3450a577be,cu_sam13_1_aad24e431af3
role_22972974f52a,cu_sam24_1_ebe0e50a6b16
role_773d6da9c9c7,cu_sam24_1_ebe0e50a6b16
role_a50341f17347,cu_sol17_1_b17d2500ee97
role_5770b417aa0f,cu_sol17_1_b17d2500ee97
role_398b4dd5be20,cu_sol17_1_b17d2500ee97
role_a6374bc2d681,cu_rrr11_1_220b0280d83f
role_02feb6bb8161,cu_rrr11_1_220b0280d83f
role_c4c862eaee24,cu_rrr11_1_220b0280d83f
role_daa9774e399e,cu_ret11_1_1682e42e1ccd
role_064894de9220,cu_ret11_1_1682e42e1ccd
role_8893bb126f4c,cu_ret14_1_e8ef0bfe7838
role_2d345b134c5d,cu_ret14_1_e8ef0bfe7838
role_a358d4508cd3,cu_mat11_1_b8c477be8a5e
role_1f8b7506466a,cu_mat11_1_b8c477be8a5e
role_80ca105c11b9,cu_mat12_1_b8009f060cde
role_4f47c6c51d6b,cu_mat12_1_b8009f060cde
