tag_id,intention_id
tag_1a15d38c0bf8,int_85ecde707618
tag_f3f75347a7a5,int_69321699340f
tag_5e7ee9321c9e,int_231b6f05fe1a
tag_b92803e8f916,int_e2fb5ed19d52
tag_735f5fddbf2f,int_5b4fb2fd9247
tag_d68aa6508ba5,int_8933ae25e512
tag_03cb4f7e8fd2,int_4f3d7dc0e033
tag_3e27f679cc9a,int_865f206861d5
tag_7ce0eedbcd36,int_3e2a619b05ec
tag_97143435854a,int_5788fb7d4d88
tag_362d42a104a1,int_5c5d47768d79
tag_249ed3fb3fb9,int_3ef36b2deb34
tag_828c5eae3bd0,int_fbfac545573b
tag_4224f28e4ae4,int_d7d2006ee048
tag_23965bbd195b,int_b8a2fac2ccc5
tag_4842341316c7,int_836cd460a347
tag_e9a537210bb8,int_b44e0db02c07
tag_6f407b01772a,int_6d386af60a34
tag_acced5964aeb,int_f385a0039367
tag_ee6b9a4b230a,int_c61d4ca5f8d6
tag_0bb5bd16345e,int_46896c04a92f
tag_0e4f7c85407f,int_0239b4c2dfcd
tag_91fdea29770a,int_4b100074fc5e
tag_fa2366658ca5,int_5f5739ee443c
tag_9a5fd716a2f3,int_67f67731bffd
tag_9d95db67682b,int_199e92d950ba
tag_7c4d0f143f19,int_698ddfe60a79
tag_c3d5d6fbd447,int_aacbab50ec9e
tag_5ba3e527d7c7,int_bbbe349e1f54
tag_23d846ce6ba9,int_923e6f583788
tag_753e2934ac34,int_8e9bed8b6461
tag_0817dda14f99,int_b714e3887059
tag_8a14cbe85add,int_36293df3afd1
tag_ba5e455bed2c,int_b72ecbc6bc97
tag_7d8d6b7edbce,int_7fb8d525293a
tag_ad1f3d3073e4,int_f550a6fe7718
tag_52c3c5efb3fd,int_5248bf7625a8
tag_5c381d679ecb,int_3eb7b57d7777
tag_a5a0c3a18014,int_49f8ebe03d00
tag_13c1df132287,int_929aff7d1ec6
tag_69cb107d51a3,int_2c58f1da845d
tag_d995ede02033,int_4cd911926603
tag_2a3cfa9c6d31,int_64f52b75d39c
tag_28c1690a1104,int_97e6a05e68f4
tag_64abee6bc24a,int_62a3e2a7d2f0
tag_2ae6d989c457,int_6af4510c4ab6
tag_f05eaaa8c6ca,int_08c324326c2d
tag_0296625952b9,int_115243d6c773
tag_adde468214a4,int_7156173de01b
tag_b2765672094c,int_8b52352966f5
tag_cbd730aa903d,int_08e79aca562a
tag_0184fadfd5c0,int_c38978cb1209
tag_3210af6cddc1,int_b75e614a096a
tag_c35b972ae812,int_79ceeb8a79c8
tag_1ff7417f3e05,int_786f00fe9495
tag_838a1a3c64b7,int_f2772620fab7
tag_64af960a5e50,int_336a48a82e97
tag_d430c364cac3,int_d08cf5859f9b
tag_23fcec2224ca,int_74a9239ce558
tag_8ae990ef99f4,int_73f205b8e2f0
tag_0d715ca49266,int_1c1000c83169
tag_49004af42c71,int_78416f5702fb
tag_2d23d4db5f92,int_cb585ae9f1b5
tag_451d5bfa91e4,int_718a7300f2da
tag_c9d2dfdd124b,int_697207f11f38
tag_64f47c1ad106,int_4a2915ad6b74
tag_d59fd7b02fd2,int_4e69c7338773
tag_0b02803cb436,int_0632b5f5fc0f
tag_ff58510dea5b,int_c06701c4fadd
tag_387f9845ddf8,int_f31c38a97558
tag_9ee5fa09f0d7,int_1453d5f7c77b
tag_fbe5653fe3c5,int_923c355b043d
tag_b3dc042aa945,int_a03f05568d8d
tag_12b228d53676,int_c4d57105250c
tag_61f95551a0de,int_297361ea9288
tag_10a418750d79,int_2777db309307
tag_f0da88110cd3,int_b657c839b60e
tag_06bc8f24f363,int_7a14bb6327a4
tag_f4bc3fd6a9d6,int_f606ff65c849
tag_33ce40d7c083,int_4c6402173439
tag_c23399e5ac09,int_fe51dc866cd6
tag_e2442b9a66b3,int_01881f524714
tag_0d92999122be,int_cd22b12a0ea1
tag_880960239a45,int_976615efb9d4
tag_a149e9d5e2c6,int_0f2b5198a980
tag_b8447575521f,int_6c14e263ba65
tag_2efb27539ef5,int_547420a3e221
tag_8cc70c76282b,int_a2d23ae3324b
tag_0b5508e849e7,int_19461fc83637
tag_104ebe75331a,int_d47c94c5d9be
tag_a8ac7d117cbd,int_01fd05a1099d
tag_3f99bb12d9f4,int_6bd0ee600d89
tag_9172131db1af,int_14cbb846ace2
tag_f5848c1e2115,int_58a793081513
tag_21230cba5cba,int_2762fd687e06
tag_1255979a9777,int_86e9f582bcee
tag_50baa60639e5,int_fd5f157fe54b
tag_cdb32ac12ffb,int_ce4a7d874acf
tag_73095525b546,int_4b563e53335a
tag_c14eba11b00e,int_0d27d7dcf01d
tag_45cebf7904da,int_64c7eeb85ac6
tag_5d1d5caad6e3,int_4329a1fbadb8
tag_29feaf002e2a,int_c44870a500fc
tag_2fe074d9bf6a,int_11e589830b1b
tag_0752ce75b9b3,int_6375690e1426
tag_377b826c55de,int_454346931355
tag_847f34a4a3d6,int_b7b376c217be
tag_bc5b9a4c2369,int_eb0fbaf76f66
tag_029a3ccc0842,int_9eb391be953c
tag_8080afb76d45,int_6cf416d68891
tag_353da91944cd,int_f3fbc1d52af8
tag_18d214a64ee3,int_5c9173b46dc2
tag_d4600e31bd29,int_39dc865c86da
tag_6473ee61c705,int_a8dbb61608b2
tag_44eed0da79d1,int_0eaffb0523bf
tag_569f27c3e2a1,int_b622f01d4f88
tag_77b6d70e2386,int_b4a98cdfd900
tag_2f0e4aa98681,int_8263cb65dedd
tag_9f8c2455b452,int_e08cefd8059f
tag_73381c08c488,int_643119e8057f
tag_c59b12b312e2,int_4f8354a835d5
tag_1f5f6e61255e,int_37b7807f3402
tag_0a960cddc325,int_1d10cc0e13d6
tag_1ca8e10650d5,int_1c9a5ddacad3
tag_a0b499855502,int_c6e627949d59
tag_bac3895cb0d3,int_7cab0346c772
tag_134287aae049,int_0397497e51c3
tag_09ff927a50e6,int_fd7e664fd577
tag_7aa5cf2adce6,int_43121db87210
tag_d94452375035,int_f6822fc43f38
tag_8fe373123f87,int_1297ace85062
tag_2ceea417eb77,int_73e45175b58c
tag_55766b99e133,int_b2b01668d7df
tag_1897657bc583,int_4e6e504fb849
tag_36f4419d192b,int_1ea09bd1df14
tag_9714b7debd01,int_ed1caab246dd
tag_5c01318f2e64,int_062b146729e2
tag_60aff24519df,int_7c0df8af897d
tag_f153bca36d1c,int_6e83e65924df
tag_4df2c2a0abd4,int_e19f054ba925
tag_ba3e912bfa0d,int_85cc01563df9
tag_2c52d2bd49c4,int_a0847fad5b7b
tag_fbf266700102,int_8c4115becbd4
tag_2623e2b21f95,int_d15d118e07b1
tag_6a23f2593c5f,int_a65a016b6d3e
tag_f211f513d8b3,int_9126e51bb3e9
tag_a4368503531e,int_8c99ba6d4604
tag_15405cdee724,int_df249496b68b
tag_cc984c6fc5b6,int_ef1053255770
tag_24a78cbfcddf,int_506d3960bcf9
tag_3f99d281800a,int_704178553688
tag_2773bc24c36b,int_5ca1bece2cc9
tag_51a9b18652e4,int_596f9fdd029e
tag_7fadc53fb803,int_827ffdc85f3f
tag_58deb14a4cdb,int_acb881451b97
tag_f5580a9bf48d,int_ea105561966f
tag_cf613a615c30,int_54dc74ed4433
tag_bf2be9adab90,int_0e0c595cdecf
tag_2b39de249539,int_3674eb2ffe23
tag_4e9840c94565,int_3623ba6ee07a
tag_d9376de8bb9a,int_327ca15bc266
tag_e734731b3f7a,int_afe67a0f4abe
tag_8a6ff7044b43,int_4aeb2a97adbe
tag_e10e9833ae55,int_d4ec99ef70d4
tag_f6e41bbf1b4e,int_986abf7b7106
tag_4f9f075177f9,int_c9981f8614e6
tag_37100da5f555,int_2423fa96b51b
tag_271802438cab,int_98b8f1849f6d
tag_484bddbb1163,int_ff4a11300e23
tag_241d9447bd60,int_5fe498548538
tag_242124617a5e,int_ef3319385f62
tag_b9d7ddcae8ad,int_57e550efdc20
tag_cb01fb473b33,int_ccc209981fe6
tag_a540a4c58e72,int_e4bebdb32fec
tag_1ea232c75363,int_b4896db04d67
tag_40b652c2f7fe,int_a523a986ccfc
tag_f27d8a7686b9,int_ff6f14a8f0e1
tag_3faff32d7511,int_464abf73d00f
tag_65e983ef9f00,int_0df4b750396e
tag_889aa485abf7,int_2c36a0f6bd7d
tag_c2b47f3c390f,int_16bbc7da9c26
tag_3455eb472682,int_20947e5e83aa
tag_0bf414059b11,int_09fd984ec508
tag_d27fc977acb8,int_8ff680f2e639
tag_eedad3cccffa,int_afb2df6ba5e9
tag_4bbc7c3c5402,int_357fbf057987
tag_14bc727f4018,int_a2ecfdaa2937
tag_3c95337b6a5f,int_ddf17c86cf94
tag_7d1530a433b1,int_7f8025e4620c
tag_f57ff4247aad,int_4379290c09af
tag_6ec0d03acf8d,int_4a0c42012102
tag_e9d0644c864b,int_26ee72d704e1
tag_41a20eb90784,int_a3d66ee45f42
tag_141d6e66d97b,int_2a935c24117e
tag_f31b8697a2b5,int_ed7ba9bcee10
tag_7738d61c3957,int_913663c959ca
tag_3991bbaf28d3,int_977718ea1fa1
tag_8c3592e92e8a,int_41500363adf6
tag_934120620c32,int_b9ef857a258f
tag_563d037d78cc,int_a5c9b3416376
tag_e6fdd54573ab,int_741ceef15e25
tag_d5d5aa58ef9e,int_574cefae92a4
tag_4b42f11ad86b,int_f4640a85efa3
tag_62e0af894188,int_1e9b7d62f787
tag_1860984cccea,int_097654df2208
tag_2bd710b02201,int_6f78fd814239
tag_3f085b760e9d,int_3913996c95d6
tag_86457a612210,int_214af657adf6
tag_5cdaf54a92e3,int_72a8e5581e0b
tag_f1b2ce26048c,int_3dd71d08e2af
tag_dfc50be47351,int_3482eb56c67b
tag_c8f03677f30c,int_11168a6dad39
tag_ad43651490fb,int_4367f8f90dae
tag_bbb070329b45,int_9a4c4757941a
tag_2493df6efbaf,int_68e625570b2e
tag_51ff41b29e9f,int_4920dbe3c80f
tag_213b6afe9767,int_a893c5847536
tag_b1fc2dd92685,int_02a39a215af5
tag_9942b2d73ba4,int_a95744a54fdf
tag_ca5d4e02fb04,int_814391dc6767
tag_bb28b56c2b5d,int_22d64a199816
tag_9ee403047770,int_49e75379f088
tag_dfb9621310b8,int_54ff2b2cff75
tag_d21dfa0a207d,int_ebb86334b370
tag_82d14c8539c7,int_644da0194cf6
tag_08e21e85dfff,int_4609b8ee7d23
tag_0ee860603970,int_b777d627161d
tag_16c74a9d5526,int_e950ade78c9e
tag_c7b34e9c6137,int_9b1bb0443e0c
tag_4a07d17ad48c,int_b5d9dae1959a
tag_38215d36cecd,int_283d35d3470e
tag_ae3143873e4a,int_42f578a7e656
tag_55dc275d4f9d,int_519c9c791f2d
tag_ec2a58a58aa7,int_afd0ef3e064c
tag_3b7855b83f9f,int_ea14b048b6cb
tag_c599ff6ecb6a,int_bef7052523b1
tag_7ab91b05df6b,int_d544a8bd4b29
tag_184bac59b5af,int_bb9a20979a3a
tag_2c3b8198cecf,int_baac50f41efb
tag_7139f397337d,int_258624303257
tag_9d368486a2b7,int_50e702a472e8
tag_355cb32751ea,int_659fa11ee569
tag_4a69a64060a9,int_02c0bd414782
tag_a289058ae49e,int_e755332e2ee7
tag_1bf98925448d,int_25be094be762
tag_51348e24db4a,int_953c5f80e3d1
tag_9d19b420c8bc,int_440e5fb782b6
tag_58ab7a840dd7,int_6b10ce7234aa
tag_9d36879b1c82,int_c8150552d9c5
tag_84a2da0a244c,int_689cf5a65936
tag_52757f620893,int_80daa4cc2894
tag_8e696c02e50b,int_905be97fa039
tag_f20bd5835f98,int_a1269f85cad6
tag_8194eec52480,int_2791e03d5509
tag_f7904b9c3289,int_37e4ff41e593
tag_c1e37c90ef1a,int_43ce0659340f
tag_c4ae84653c8a,int_62cd9464da7d
tag_4edf84efc8b0,int_f3fdd8bfeabd
tag_9a32ef3c4159,int_0ef8fd5a86ed
tag_d48fd7cd4b94,int_746fd4c3e398
tag_7668a196b843,int_38f8e410c4cd
tag_73edd49a2667,int_c866bcc423f0
tag_20b7052fa123,int_c7c8f02e030c
tag_cb2d5e94446c,int_a8a7f99790a1
tag_160bff49bcfd,int_539706d4470b
tag_cdcd074d6764,int_b706b1cbd90a
tag_89fc15e31a76,int_bf3681d72110
tag_43f3e09a6a7b,int_acbae16c85a0
tag_a9dfd4000aa9,int_6fea854c9172
tag_f954394e4a27,int_7e2828885c47
tag_9966ff7306a7,int_c12d9bdbf968
tag_22fe13c5df9d,int_14b4703f5ba3
tag_c244f2c550a2,int_0fb9749b9172
tag_89c87f9d9b7a,int_e91007e2eafe
tag_608db2f478e5,int_0b759b77cbf1
tag_330fcc03d3d7,int_b1573a12e075
tag_2bbf215e65d1,int_2ce2679605da
tag_781c1f30843f,int_27656d4c5ba4
tag_224fee76c43c,int_c2a207fcde51
tag_78ac670c6a98,int_b8214ef29912
tag_506c633660c2,int_be69f4ce3fad
tag_459e24bcdcde,int_e5b84b1d5a74
tag_9a3b599db7cc,int_ae839607bc57
tag_3ca8d8ab941d,int_7bc146e5ad0b
