id,title,description,courseTitle
task_4991105788054a80b62b9634d27618fe,"Beskrive og forklare, på...","Complete the following activity to demonstrate mastery of the stated learning outcomes: Beskrive og forklare, på et generelt nivå, hvordan økonomisk teori kan brukes til å forstå og analysere aktuelle problemstillinger, for eksempel innen lønnsdannelse, handelspolitikk eller miljøregulering. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_68957970dfb04935b2096450231cfb9c,Benytte teori til å...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Benytte teori til å formulere prediksjoner, og anvende teoriapparatet til å forstå aktuelle problemstillinger innen for eksempel toll eller miljøpolitikk. | Forklare betydningen av motivasjon og insentiver for lønnssetting. | Vurdere i hvilken grad markedsøkonomien fremmer FNs bærekraftsmål. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_bbf62d52e8da496d9c4ca091a5fd76f4,Forklare betydningen av motivasjon...,Complete the following activity to demonstrate mastery of the stated learning outcomes: Forklare betydningen av motivasjon og insentiver for lønnssetting. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.,Anvendt økonomi
task_621d23d681784fcd9d73bfea34d56ee0,Beskrive og forklare hvordan...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Beskrive og forklare hvordan en ved hjelp av ulike typer data kan analysere henholdsvis individers, bedrifters og samfunnets ulike beslutninger. | Ta stilling til hvordan teorien skal kombineres med empiriske observasjoner, alt fra en case studie, en spørreundersøkelse, eksperimenter, til et omfattende datasett. | Diskutere virkningene av handels-, nærings- og miljøpolitikk. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_e92781a416e44f4d9399d7397425c53c,"Beskrive og forklare, på...","Complete the following activity to demonstrate mastery of the stated learning outcomes: Beskrive og forklare, på et generelt nivå, hvordan økonomisk teori kan brukes til å forstå og analysere aktuelle problemstillinger, for eksempel innen lønnsdannelse, handelspolitikk eller miljøregulering. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_edc8cac046e4433fbfb9228439074824,"Diskutere virkningene av handels-,...","Complete the following activity to demonstrate mastery of the stated learning outcomes: Diskutere virkningene av handels-, nærings- og miljøpolitikk. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_e16c1197196c4f5b9df9762520738165,"Beskrive og forklare, på...","Complete the following activity to demonstrate mastery of the stated learning outcomes: Beskrive og forklare, på et generelt nivå, hvordan økonomisk teori kan brukes til å forstå og analysere aktuelle problemstillinger, for eksempel innen lønnsdannelse, handelspolitikk eller miljøregulering. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_9220f74b225440a484805ba77ad4a243,"Diskutere virkningene av handels-,...","Complete the following activity to demonstrate mastery of the stated learning outcomes: Diskutere virkningene av handels-, nærings- og miljøpolitikk. | Være i stand til kritisk å reflektere over hvordan økonomiske modeller og økonomisk metode kan anvendes for å få en bedre forståelse av aktuelle problemstillinger, for eksempel innen lønnsdannelse, handelspolitikk eller miljøregulering. | Bygge en empirisk modell som kan analysere effekten av et tiltak, for eksempel en priskampanje for en bedrift. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_4dc73b7b926646a9a256a293f9bf35e9,Forklare policyimplikasjoner av ulike...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Forklare policyimplikasjoner av ulike former for markedssvikt, spesielt hvordan markedssvikt må korrigeres for å fremme FNs bærekraftsmål. | Forklare betydningen av motivasjon og insentiver for lønnssetting. | Strukturere aktuelle problemstillinger, for eksempel innen lønnsdannelse og handelspolitikk. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
task_1fe4e1f49b3043abaf868bfd323757ba,Benytte teori til å...,"Complete the following activity to demonstrate mastery of the stated learning outcomes: Benytte teori til å formulere prediksjoner, og anvende teoriapparatet til å forstå aktuelle problemstillinger innen for eksempel toll eller miljøpolitikk. | Være i stand til å kritisere metodevalg, utførelse og fortolkning av empirisk argumentasjon i den samfunnsøkonomiske debatten. | Forklare policyimplikasjoner av ulike former for markedssvikt, spesielt hvordan markedssvikt må korrigeres for å fremme FNs bærekraftsmål. Deliverable: a short report (700–900 words) and a brief 3‑minute in‑class presentation.",Anvendt økonomi
